date_time,Unnamed: 0,ask,bid,ask_volume,bid_volume
2021-01-03 22:20:54.709,237,1.22363,1.22355,0.75,0.8
2021-01-03 22:21:12.391,238,1.22362,1.22348,0.75,7.5
2021-01-03 22:21:12.492,239,1.22361,1.22348,9.02,7.5
2021-01-03 22:21:12.644,240,1.2236,1.22348,9.02,0.37
2021-01-03 22:21:12.906,241,1.22358,1.22347,9.02,0.37
2021-01-03 22:21:14.236,242,1.22357,1.22347,9.02,0.37
2021-01-03 22:21:14.287,243,1.22362,1.22347,1.87,0.37
2021-01-03 22:21:16.015,244,1.22359,1.22347,9.02,0.37
2021-01-03 22:21:17.491,245,1.22358,1.22347,9.02,0.37
2021-01-03 22:21:18.230,246,1.22358,1.22346,9.02,0.75
2021-01-03 22:21:18.337,247,1.22358,1.22344,9.02,0.97
2021-01-03 22:21:18.739,248,1.22362,1.22343,1.87,0.97
2021-01-03 22:21:31.399,249,1.22362,1.22345,0.75,1.55
2021-01-03 22:21:31.685,250,1.22362,1.22345,10.89,0.8
2021-01-03 22:21:31.736,251,1.22361,1.22343,9.02,0.94
2021-01-03 22:21:35.772,252,1.22362,1.22343,1.87,0.94
2021-01-03 22:21:44.553,253,1.22359,1.22343,9.02,0.94
2021-01-03 22:21:49.439,254,1.22362,1.22343,1.87,0.75
2021-01-03 22:21:51.928,255,1.22361,1.22351,1.87,0.75
2021-01-03 22:21:52.433,256,1.22362,1.22348,1.87,0.75
2021-01-03 22:21:52.866,257,1.22362,1.22349,1.87,0.75
2021-01-03 22:21:56.992,258,1.22362,1.22345,0.75,0.8
2021-01-03 22:21:57.992,259,1.22361,1.22344,1.87,0.94
2021-01-03 22:21:58.094,260,1.22361,1.22343,9.02,0.94
2021-01-03 22:22:00.198,261,1.22362,1.22343,1.87,0.94
2021-01-03 22:22:01.299,262,1.22361,1.22343,9.02,0.94
2021-01-03 22:22:01.918,263,1.2236,1.22343,9.02,0.94
2021-01-03 22:22:02.477,264,1.22362,1.22343,1.87,0.94
2021-01-03 22:22:03.625,265,1.22362,1.22345,0.75,1.55
2021-01-03 22:22:03.995,266,1.22362,1.22344,1.87,0.75
2021-01-03 22:22:11.292,267,1.2236,1.22344,9.02,0.75
2021-01-03 22:22:12.990,268,1.22362,1.2235,1.87,0.75
2021-01-03 22:22:13.982,269,1.22362,1.22344,1.87,0.75
2021-01-03 22:22:24.232,270,1.22362,1.22345,0.75,1.5
2021-01-03 22:22:25.094,271,1.22362,1.22343,1.87,0.19
2021-01-03 22:22:27.717,272,1.22361,1.22343,9.02,0.19
2021-01-03 22:22:29.219,273,1.22361,1.22344,9.02,0.75
2021-01-03 22:22:29.407,274,1.22362,1.22344,1.87,0.75
2021-01-03 22:22:36.991,275,1.22362,1.22347,0.75,0.24
2021-01-03 22:22:37.990,276,1.22362,1.22343,1.87,0.79
2021-01-03 22:22:41.477,277,1.2236,1.22344,9.02,0.79
2021-01-03 22:22:47.494,278,1.22362,1.22343,1.87,1.54
2021-01-03 22:22:52.993,279,1.22362,1.22345,0.75,2.49
2021-01-03 22:22:53.994,280,1.22362,1.22346,1.87,0.19
2021-01-03 22:22:54.095,281,1.22358,1.22347,9.02,0.19
2021-01-03 22:22:54.556,282,1.22362,1.22346,1.87,0.19
2021-01-03 22:23:01.488,283,1.22361,1.22346,9.02,0.19
2021-01-03 22:23:03.382,284,1.22362,1.22346,1.87,0.19
2021-01-03 22:23:05.992,285,1.22362,1.22349,0.75,0.75
2021-01-03 22:23:06.796,286,1.22361,1.22349,9.02,0.75
2021-01-03 22:23:07.102,287,1.22362,1.22349,1.87,0.75
2021-01-03 22:23:30.280,288,1.22362,1.22347,0.75,1.12
2021-01-03 22:23:30.749,289,1.22362,1.22343,1.87,0.97
2021-01-03 22:23:35.188,290,1.22361,1.22343,9.02,0.97
2021-01-03 22:23:35.477,291,1.22362,1.22343,1.87,0.97
2021-01-03 22:23:37.232,292,1.22362,1.22346,1.87,0.75
2021-01-03 22:23:38.278,293,1.22362,1.22343,1.87,0.97
2021-01-03 22:23:51.280,294,1.22362,1.22348,0.75,0.22
2021-01-03 22:23:51.995,295,1.22362,1.22343,1.87,0.97
2021-01-03 22:23:55.219,296,1.2236,1.22344,9.02,0.97
2021-01-03 22:23:57.904,297,1.22362,1.22343,1.87,0.97
2021-01-03 22:24:03.278,298,1.22362,1.22344,1.87,1.12
2021-01-03 22:24:15.269,299,1.22362,1.22348,0.75,1.5
2021-01-03 22:24:20.282,300,1.22362,1.22344,1.87,0.75
2021-01-03 22:24:23.628,301,1.22362,1.22343,10.89,0.94
2021-01-03 22:24:26.063,302,1.22362,1.22342,10.89,0.79
2021-01-03 22:24:28.665,303,1.22362,1.22344,1.87,0.75
2021-01-03 22:24:28.871,304,1.22362,1.22341,1.87,2.3
2021-01-03 22:24:40.281,305,1.22362,1.22342,0.75,1.55
2021-01-03 22:24:43.206,306,1.22362,1.22341,1.87,2.29
2021-01-03 22:24:43.718,307,1.22362,1.22343,1.87,5.98
2021-01-03 22:24:45.819,308,1.22362,1.22342,0.75,1.5
2021-01-03 22:24:46.941,309,1.22362,1.22341,1.87,2.29
2021-01-03 22:24:50.579,310,1.22362,1.22343,1.87,5.98
2021-01-03 22:24:56.477,311,1.22362,1.22341,1.87,2.29
2021-01-03 22:25:12.341,312,1.22363,1.2235,0.75,0.19
2021-01-03 22:25:12.494,313,1.22363,1.22351,0.75,1.12
2021-01-03 22:25:12.759,314,1.22363,1.2235,0.75,0.22
2021-01-03 22:25:20.881,315,1.22363,1.22345,0.75,0.8
2021-01-03 22:25:25.743,316,1.22364,1.22346,9.77,0.79
2021-01-03 22:25:32.261,317,1.22361,1.22346,0.75,6.02
2021-01-03 22:25:32.363,318,1.22359,1.22346,1.12,5.98
2021-01-03 22:25:32.541,319,1.22359,1.22345,1.12,0.19
2021-01-03 22:25:42.688,320,1.22361,1.22345,0.75,1.31
2021-01-03 22:25:42.739,321,1.22361,1.22347,0.75,0.75
2021-01-03 22:25:42.840,322,1.22361,1.22348,0.75,0.79
2021-01-03 22:25:43.537,323,1.22361,1.22345,0.75,0.22
2021-01-03 22:25:53.374,324,1.22361,1.22355,0.75,5.98
2021-01-03 22:25:53.476,325,1.22361,1.22354,0.75,0.19
2021-01-03 22:25:53.627,326,1.22366,1.22355,8.25,0.19
2021-01-03 22:25:53.729,327,1.22366,1.22356,8.25,0.79
2021-01-03 22:25:53.881,328,1.22366,1.22352,0.75,0.24
2021-01-03 22:25:53.931,329,1.22363,1.2235,9.02,1.74
