Time (UTC),Open,High,Low,Close,Volume 
2021.03.22 21:00:00,1.19323,1.19407,1.18421,1.18492,121963.1025
2021.03.23 21:00:00,1.18492,1.1853,1.18095,1.1812,128415.3595
2021.03.24 21:00:00,1.18122,1.18277,1.17617,1.17635,136003.39
2021.03.25 21:00:00,1.17636,1.18049,1.17633,1.17918,98593.6366
2021.03.28 21:00:00,1.17917,1.17939,1.17606,1.17642,108739.675
2021.03.29 21:00:00,1.1764,1.17737,1.17112,1.17169,101747.155
2021.03.30 21:00:00,1.17168,1.17598,1.1704,1.17298,108027.72
2021.03.31 21:00:00,1.17298,1.17799,1.17125,1.17759,100966.9142
2021.04.01 21:00:00,1.17759,1.17866,1.1749,1.17603,73526.584
2021.04.04 21:00:00,1.17544,1.18194,1.17379,1.18125,64177.8449
2021.04.05 21:00:00,1.18125,1.18776,1.17951,1.1874,92381.3505
2021.04.06 21:00:00,1.1874,1.19147,1.18608,1.18657,93691.97
2021.04.07 21:00:00,1.18657,1.19274,1.18609,1.19124,88048.4287
2021.04.08 21:00:00,1.19121,1.19201,1.18669,1.18977,86552.7175
2021.04.11 21:00:00,1.18903,1.1919,1.1871,1.19099,80081.1498
2021.04.12 21:00:00,1.19098,1.19557,1.18776,1.19474,99223.64
2021.04.13 21:00:00,1.19473,1.19872,1.1947,1.19784,94252.055
2021.04.14 21:00:00,1.19781,1.19932,1.1956,1.19655,88577.895
2021.04.15 21:00:00,1.1963,1.19946,1.19503,1.19805,78344.8601
2021.04.18 21:00:00,1.19722,1.2048,1.19424,1.20367,97787.9459
2021.04.19 21:00:00,1.20363,1.20797,1.20224,1.20342,98215.718
2021.04.20 21:00:00,1.20337,1.20436,1.19985,1.20343,86370.67
2021.04.21 21:00:00,1.20344,1.20694,1.19936,1.20139,106466.23
2021.04.22 21:00:00,1.20138,1.20999,1.20127,1.20938,82121.87
2021.04.25 21:00:00,1.20913,1.21167,1.20608,1.20838,81695.9
2021.04.26 21:00:00,1.20854,1.20926,1.20567,1.20891,81304.0957
2021.04.27 21:00:00,1.20891,1.21347,1.2056,1.21242,104781.33
2021.04.28 21:00:00,1.2124,1.21498,1.21021,1.21182,99413.8429
2021.04.29 21:00:00,1.21173,1.21265,1.20165,1.20169,100428.01
